respondent_id,respondent_id_source,respondent_id_confidence,source_file,sheet_name,inferred_role,original_persona_sheet_label,reported_brand_persona,brand_persona,classification_confidence,engagement_gate_satisfied,confidence,evidence_coverage,evidence_strength,persona_margin,answer_completeness,classification_consistency,sections_answered,has_jabc_experience,has_current_jabc_engagement,has_lapsed_jabc_engagement,intends_to_continue_jabc,is_aware_of_jabc,runs_external_programs,explores_external_programs,has_positive_external_experience,has_negative_external_experience,is_hesitant_about_external_programs,has_no_external_experience,has_current_barriers,jabc_recency_signal,external_disposition_signal,engagement_evidence,awareness_score,awareness_evidence_strength,awareness_evidence_status,understanding_score,understanding_evidence_strength,understanding_evidence_status,trust_score,trust_evidence_strength,trust_evidence_status,relevance_score,relevance_evidence_strength,relevance_evidence_status,ease_of_engagement_score,ease_of_engagement_evidence_strength,ease_of_engagement_evidence_status,advocacy_score,advocacy_evidence_strength,advocacy_evidence_status,average_score,overall_sentiment_label,overall_sentiment_score,manual_review_flag,manual_review_reason,classification_reasoning
Erin_Paul,filename,0.7,Interview_Erin_Paul_July20_Teacher_Active1.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.816,True,0.391,0.278,0.183,0.475,0.444,1.0,ACEI,True,True,False,True,True,False,False,False,False,False,True,False,0.0,0.0,"has_jabc_experience: [5] went well to a day over 4 weeks, dollar in sense & all about money 
2 classes back to back, worked really well for sb to come back to back to do these | intends_to_continue_jabc: [5] …come back… went well to a day over 4 weeks, dollar in sense & all about money 
2 classes back to back | intends_to_continue_jabc: [9.3] …def recommend… def recommend it; it's a specialized topic - they have solid programming, would have physi",3.22,0.0,weak,3.867,0.55,mixed,4.0,0.0,insufficient,3.0,0.0,insufficient,3.276,0.0,weak,4.278,0.55,mixed,3.607,mixed,0.287,False,,"Selected Brand Champion via engagement gate (margin=0.47). Persona scores: Brand Champion=11.20 [gate] [+2 support], Non-Active Supporter=5.27 [+1 support], Brand Prospect=4.31 [+1 support], Brand Newbie=2.85 [+1 support]. Engagement state: sections=ACEI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, intends_to_continue_jabc, is_aware_of_jabc; jabc_recency=+0.00; external_disposition=+0.00"
Felix_Nelson,filename,0.7,Interview_Felix_Nelson_July22_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.764,True,0.313,0.0,0.208,0.52,0.381,1.0,ABCDI,False,False,False,False,False,True,True,False,False,False,False,False,0.0,0.113,"has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | is_aware_of_jabc: [3] (denied) before today only limited awareness, only know it's supporting work readiness, entrepreneurship; not familiar with progr | is_aware_of_jabc: [3] (negated) …not familiar…",1.443,0.7,mixed,3.0,0.0,insufficient,3.0,0.0,unknown,3.6,0.55,mixed,3.0,0.0,insufficient,3.0,0.0,unknown,2.841,mixed,0.21,False,,"Selected Brand Prospect via engagement gate (margin=0.52). Persona scores: Brand Prospect=10.85 [gate] [+1 support], Non-Active Supporter=4.35, Brand Newbie=3.50, Brand Champion=3.17. Engagement state: sections=ABCDI; flags=explores_external_programs, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.11"
Heather_Briske,filename,0.7,Interview_Heather_Briske _July24_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.655,True,0.393,0.222,0.367,0.401,0.36,1.0,ACDEFI,True,True,False,False,True,False,False,False,False,False,True,False,-0.201,0.0,"has_current_jabc_engagement: [1.4] …last year… she has done JABC financial literacy program couple years ago with grade 6 - last year she | has_current_jabc_engagement: [3.1] …last year… came through their weekly emails and postings; apply through weekly emails; missed the one | has_jabc_experience: [5] JABC organizes volunteers for them; difficult, pp who come in surrey schools must be vetted and approved from district; JABC's volunteers are already  | has_jabc_experience: [5] JABC organizes volunteers for them; difficult, pp who come in surrey schools must be vetted and approved from district; JABC's volunteers are already  | has_lapsed_jabc_engagement: [1.4] …years ago… she has done JABC financial literacy program couple years ago with grade 6 - last year she",3.22,0.55,weak,3.8,0.55,mixed,3.398,0.55,weak,3.0,0.0,insufficient,3.721,0.55,supported,3.0,0.0,unknown,3.357,positive,0.538,False,,"Selected Brand Champion via engagement gate (margin=0.40). Persona scores: Brand Champion=9.76 [gate], Brand Prospect=4.75 [+1 support], Non-Active Supporter=4.70, Brand Newbie=2.94 [+1 support]. Engagement state: sections=ACDEFI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, is_aware_of_jabc; jabc_recency=-0.20; external_disposition=+0.00"
Joshua_Jason,filename,0.7,Interview_Joshua_Jason_July22_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.755,True,0.301,0.056,0.092,0.492,0.423,1.0,ABCDEI,False,False,False,False,False,True,True,False,False,False,False,False,0.0,0.186,has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | is_aware_of_jabc: [3] (denied) not at all | is_aware_of_jabc: [3] (negated) …not at all…,3.0,0.0,unknown,3.0,0.0,insufficient,3.0,0.0,insufficient,3.6,0.55,mixed,3.168,0.0,weak,3.0,0.0,unknown,3.128,mixed,0.289,False,,"Selected Brand Prospect via engagement gate (margin=0.49). Persona scores: Brand Prospect=11.08 [gate] [+1 support], Non-Active Supporter=4.93, Brand Champion=3.58, Brand Newbie=3.01. Engagement state: sections=ABCDEI; flags=explores_external_programs, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.19"
Karina_Thygesen,filename,0.7,Interview_Karina Thygesen_July21_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.655,True,0.408,0.222,0.367,0.4,0.462,1.0,ABCDEI,True,True,False,False,True,True,True,False,False,False,False,False,0.762,0.123,"has_current_jabc_engagement: [3] …recently… 3 out of 5. She has looked at the JABC website, receives JABC emails, and has tried the Pi | has_current_jabc_engagement: [5] …most recent… Her most recent JABC experience went very well overall. Booking was easy, and participatio | has_jabc_experience: [5] Her most recent JABC experience went very well overall. Booking was easy, and participation in her class was good. Her main wish is that more educator | has_jabc_experience: [5] Her most recent JABC experience went very well overall. Booking was easy, and participation in her class was good. Her main wish is that more educator",3.22,0.55,mixed,3.165,0.55,mixed,4.352,0.0,insufficient,3.0,0.0,unknown,4.109,0.55,mixed,4.166,0.55,weak,3.669,positive,0.39,False,,"Selected Brand Champion via engagement gate (margin=0.40). Persona scores: Brand Champion=9.91 [gate], Brand Prospect=4.91 [+2 support], Non-Active Supporter=4.47, Brand Newbie=2.15. Engagement state: sections=ABCDEI; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.76; external_disposition=+0.12"
Kimberly_Hlina,filename,0.7,Interview_Kimberly_Hlina_July20_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.637,True,0.354,0.167,0.275,0.349,0.435,1.0,ABCEI,True,True,False,False,True,True,True,True,False,False,False,False,0.462,0.602,has_current_jabc_engagement: [3] …we do… Only ever done the 1 course and I did it on my own prior to doing it with students and cre | has_jabc_experience: [5] The first year we did it as the students signed up on their own and they worked through the modules and I just created google classroom assignments to | has_jabc_experience: [5] The first year we did it as the students signed up on their own and they worked through the modules and I just created google classroom assignments to | has_positive_external_experience: [2.1.1] …really good… We do have somebody come in for 1 day to do part of our sexual health component as part of,3.22,0.55,mixed,3.919,0.55,mixed,4.0,0.0,insufficient,3.6,0.55,mixed,3.38,0.0,weak,3.0,0.0,insufficient,3.52,positive,0.389,False,,"Selected Brand Champion via engagement gate (margin=0.35). Persona scores: Brand Champion=10.06 [gate], Brand Prospect=5.70 [+3 support], Non-Active Supporter=4.84, Brand Newbie=2.03. Engagement state: sections=ABCEI; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, has_positive_external_experience, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.46; external_disposition=+0.60"
Lesley_Whiteside,filename,0.7,Interview_Lesley_Whiteside _July24_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.825,True,0.49,0.222,0.458,0.5,0.722,1.0,ABEI,True,True,False,True,True,True,True,False,False,False,False,False,0.0,0.104,"has_jabc_experience: [5] 4th yr doing JABC, same as all external community members; amazing experience & some aren't as amazing, also okay cuz she and students can learn from  | has_jabc_experience: [5] 4th yr doing JABC, same as all external community members; amazing experience & some aren't as amazing, also okay cuz she and students can learn from  | intends_to_continue_jabc: [9.3] …continue… she recommends - she would pull coworkers into her classes and do with them too; will supp",4.1,0.55,weak,3.8,0.55,mixed,3.328,0.55,weak,3.6,0.55,mixed,3.754,0.55,mixed,3.231,0.0,weak,3.635,mixed,0.335,False,,"Selected Brand Champion via engagement gate (margin=0.50). Persona scores: Brand Champion=11.43 [gate] [+2 support], Non-Active Supporter=5.19 [+1 support], Brand Prospect=5.11 [+2 support], Brand Newbie=1.88. Engagement state: sections=ABEI; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, intends_to_continue_jabc, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.10"
Lori_Christensen,filename,0.7,Interview_Lori_Christensen_July17_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.833,True,0.348,0.111,0.183,0.523,0.429,1.0,ABCDI,0,False,False,False,True,True,True,False,False,False,False,False,0.0,0.281,,4.12,0.55,mixed,3.0,0.0,insufficient,3.0,0.0,weak,3.6,0.55,mixed,3.0,0.0,unknown,3.0,0.0,unknown,3.287,positive,0.363,False,,"Selected Brand Prospect via engagement gate (margin=0.52). Persona scores: Brand Prospect=11.53 [gate] [+2 support], Non-Active Supporter=5.00, Brand Champion=4.00, Brand Newbie=2.67. Engagement state: sections=ABCDI; flags=explores_external_programs, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.28"
Lukas_Yan,filename,0.7,Interview_Lukas_Yan_July24_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.612,True,0.366,0.278,0.183,0.319,0.538,0.928,ABCDEI,True,True,False,False,True,True,False,False,False,True,False,False,0.905,-0.572,"has_current_jabc_engagement: [5] …this year… Economic for Success - students enjoy the content; board game style, good get-away from co | has_current_jabc_engagement: [5] …last year… Economic for Success - students enjoy the content; board game style, good get-away from co | has_jabc_experience: [5] Economic for Success - students enjoy the content; board game style, good get-away from course work; assign themselves with their own group with frien | has_jabc_experience: [5.2] pretty easy; got his account & applied & got contacted by JABC quick | is_hesitant_about_external_programs: [2.1] …nervous… guest speakers - finance, invited RBC agents, introduce diff account types & investment st",3.22,0.0,weak,3.176,0.55,mixed,3.274,0.0,insufficient,3.0,0.0,unknown,3.746,0.55,supported,3.0,0.0,unknown,3.236,mixed,0.289,False,,"Selected Brand Champion via engagement gate (margin=0.32). Persona scores: Brand Champion=9.50 [gate], Brand Prospect=5.51 [+2 support], Non-Active Supporter=4.69, Brand Newbie=3.24 [+1 support]. Engagement state: sections=ABCDEI; flags=has_current_jabc_engagement, has_jabc_experience, is_aware_of_jabc, is_hesitant_about_external_programs, runs_external_programs; jabc_recency=+0.91; external_disposition=-0.57"
Madeline_Deis,filename,0.7,Interview_Madeline_Deis_July27_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.834,True,0.314,0.0,0.092,0.527,0.571,1.0,ABCDI,False,False,False,False,False,True,True,True,False,False,False,False,0.0,0.654,"has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | has_positive_external_experience: [4] …valuable… flexibility & ease of booking, don't like lots of back and forth; time is so valuable
how  | has_positive_external_experience: [4] …worth it… flexibility & ease of booking, don't like lots of back and forth; time is so valuable
how  | is_aware_of_jabc: [3] (denied) not at all | is_aware_of_jabc: [3] (negated) …not at all…",3.0,0.0,unknown,3.0,0.0,insufficient,3.0,0.0,unknown,3.6,0.55,mixed,3.0,0.0,insufficient,3.0,0.0,unknown,3.1,positive,0.366,False,,"Selected Brand Prospect via engagement gate (margin=0.53). Persona scores: Brand Prospect=11.58 [gate] [+2 support], Non-Active Supporter=5.00, Brand Champion=3.58, Brand Newbie=3.08. Engagement state: sections=ABCDI; flags=explores_external_programs, has_positive_external_experience, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.65"
Man_Leung,filename,0.7,Interview_Man_Leung_July24_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.807,True,0.541,0.444,0.458,0.449,0.692,1.0,ABCDEI,False,False,False,True,False,True,True,True,False,False,False,False,0.987,0.626,"has_current_jabc_engagement: [5] …This year… I joined 3 workshops for the past JABC. Over two years. This year and last year. 2024 and  | has_current_jabc_engagement: [5] …last year… I joined 3 workshops for the past JABC. Over two years. This year and last year. 2024 and  | has_jabc_experience: [5] I joined 3 workshops for the past JABC. Over two years. This year and last year. 2024 and 2025, and 2025-2026

I believe that the banker was a financi | has_jabc_experience: [5] I joined 3 workshops for the past JABC. Over two years. This year and last year. 2024 and 2025, and 2025-2026

I believe that the banker was a financi | has_positive_external_experience: [4.2] …really great… I would say the guest speaker, the one that really inspired me a lot, her experiences and  | intends_to_continue_jabc: [9.3] …highly recommend… I would highly recommend it to my colleagues. I'm a really big fan for project learning I  | intends_to_continue_jabc: [9.3] …recommend it… I would highly recommend it to my colleagues. I'm a really big fan for project learning I  | is_aware_of_jabc: [3] (denied) Not at all familiar with JA, Familiar with JABC | is_aware_of_jabc: [3] (negated) …Not at all familiar…",2.76,0.55,mixed,3.969,0.55,mixed,2.99,0.55,mixed,3.248,0.0,weak,3.703,0.55,supported,4.293,0.55,weak,3.494,positive,0.542,False,,"Selected Brand Prospect via engagement gate (margin=0.45). Persona scores: Brand Prospect=10.76 [gate] [+2 support], Brand Champion=5.15 [+2 support], Non-Active Supporter=4.98 [+1 support], Brand Newbie=2.63. Engagement state: sections=ABCDEI; flags=explores_external_programs, has_positive_external_experience, intends_to_continue_jabc, runs_external_programs; jabc_recency=+0.99; external_disposition=+0.63"
